candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent,total_gross_approval,total_chargeoff_loan_approval,total_gross_chargeoff_amount,total_sensitivity_gross_chargeoff_amount,gross_approval_share_percent,chargeoff_loan_approval_share_percent,gross_chargeoff_amount_share_percent,sensitivity_gross_chargeoff_amount_share_percent,financial_anomaly_share_shift_pp
2001,120,project_state,TN,8661,1795,8661,2322713273.0,1742578778.993,260878221.0,159101168.08,24,2320078428.0,258243376.0,155965397.29,20.725089,19.884508,21.591628,True,11.231615,6.849798,60.986758,6.722419,60.394733,206223316725.65,21365606564.17,14162165844.38,13604006615.14,1.1263097257280712,1.2210194932517915,1.1234239863328281,1.1464666381183979,-0.023042651785569745
2001,120,project_state,FL,43216,11285,43216,11174591140.0,8201371410.273259,1655693398.0,1200156910.75,278,11138995040.0,1620097298.0,1156290284.06,26.113014,25.701018,26.529255,True,14.81659,10.740052,72.486664,10.380562,71.371657,206223316725.65,21365606564.17,14162165844.38,13604006615.14,5.418684616961214,7.74933954263011,8.474388196959723,8.499630416036082,-0.025242219076359262
2001,120,project_state,PA,35741,4827,35741,6382894883.74,4569675997.017,613663405.0,420578100.83,239,6367520783.74,598289305.0,398460736.91,13.505498,13.155082,13.863758,True,9.614186,6.589143,68.535633,6.257706,66.60001,206223316725.65,21365606564.17,14162165844.38,13604006615.14,3.0951373419289485,2.872202121465206,2.969730092497814,2.928995465692806,0.040734626805007945
2001,120,project_state,AL,5754,1174,5754,1632198442.0,1233631577.67,185390280.0,116299151.78,19,1623906682.0,177098520.0,107503295.13,20.403198,19.381842,21.464046,True,11.358317,7.125307,62.732065,6.620041,60.702537,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.7914713369542987,0.8677042678062716,0.8211960872224302,0.7902325996398648,0.030963487582565397
2001,120,project_state,CA,116914,23731,116914,35585891066.0,26318958301.6642,3092112242.0,2094190745.47,396,35526143199.0,3032364375.0,2024202650.02,20.297826,20.068248,20.529355,True,8.689152,5.884891,67.726867,5.697783,66.753279,206223316725.65,21365606564.17,14162165844.38,13604006615.14,17.255997833330277,14.472382203206227,14.787220884728178,14.879459465766871,-0.09223858103869276
2001,120,project_state,MT,5329,393,5329,1024768971.0,770554676.218,57919541.0,33783766.51,9,1024102071.0,57252641.0,32906524.67,7.374742,6.703309,8.107585,True,5.651961,3.29672,58.328788,3.213208,57.475994,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.496921971419607,0.2710877448110027,0.23854943432544592,0.2418884788939906,-0.003339044568544669
2001,120,project_state,TX,66653,11609,66653,19415522010.0,14395430522.395441,1963931402.0,1275027032.1,273,19376295995.0,1924705387.0,1227098469.05,17.41707,17.131031,17.706865,True,10.115264,6.56705,64.922178,6.332988,63.755132,206223316725.65,21365606564.17,14162165844.38,13604006615.14,9.41480445483743,9.192022684221387,9.003051130106426,9.0201254951196,-0.017074365013174386
2001,120,project_state,MD,13508,2468,13508,2712068697.0,1964848783.692,283311420.0,201268031.31,77,2701021097.0,272263820.0,187488770.13,18.270654,17.628049,18.931301,True,10.446322,7.4212,71.04127,6.941403,68.862903,206223316725.65,21365606564.17,14162165844.38,13604006615.14,1.3151125391936216,1.3260162736269405,1.421167027145566,1.3781878782780241,0.04297914886754195
2001,120,project_state,WA,22378,3169,22378,6157271355.0,4592199832.81,479963921.0,294851703.85,82,6150228035.0,472920601.0,285508116.65,14.16123,13.710575,14.624187,True,7.795075,4.788675,61.432056,4.642236,60.371258,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.985729961462772,2.246432459375606,2.081967596552378,2.098706099806331,-0.01673850325395332
2001,120,project_state,WV,2474,374,2474,461627064.0,331713865.5,38303504.0,25093276.66,4,461502064.0,38178504.0,24918096.2,15.117219,13.759814,16.582783,True,8.2975,5.435833,65.5117,5.399347,65.267346,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.22384814255224467,0.17927646418536397,0.17718530439295635,0.18316733374907704,-0.005982029356120688
